id,name,category,description,price_minor,image,alt,sizes,colors,featured
men-forest-overshirt,Forest Green Overshirt,men,A deep green overshirt with a clean button front. An understated layer for your capsule wardrobe.,149900,/assets/images/imgmen1.webp,Forest green overshirt layered over a light T-shirt,"[""S"",""M"",""L"",""XL""]","[""Forest green""]",1
men-formal-blazer,Navy Occasion Blazer,men,A sharp navy blazer with a classic lapel. Style it with tailored trousers for an occasion-ready look.,519900,/assets/images/imgmen5.webp,Model wearing a navy blazer over a white shirt,"[""39"",""40"",""42"",""44""]","[""Navy""]",0
men-graphic-tee,Botanical Graphic Tee,men,A relaxed cream T-shirt with a bold botanical back print. Made for laid-back streetwear styling.,128700,/assets/images/imgmen4.webp,Back view of a cream T-shirt with a dark botanical graphic,"[""S"",""M"",""L"",""XL""]","[""Cream""]",1
men-lilac-hoodie,Soft Lilac Hoodie,men,A muted lilac pullover hoodie with a drawstring hood and front pocket. A casual layering staple.,129900,/assets/images/explore1.webp,Model wearing a muted lilac pullover hoodie,"[""S"",""M"",""L"",""XL""]","[""Lilac""]",0
men-overshirt,Taupe Everyday Overshirt,men,A relaxed button-front overshirt with chest pockets. Wear it open over your everyday tee.,136400,/assets/images/imgmen2.webp,Model wearing a taupe overshirt over a white T-shirt,"[""S"",""M"",""L"",""XL""]","[""Taupe""]",1
women-anarkali,Magenta Occasion Dress,women,A sweeping magenta ethnic-style dress with a contrasting pale drape. A colorful option for occasion styling.,359900,/assets/images/women4.webp,Model wearing a floor-length magenta dress with a pale pink drape,"[""S"",""M"",""L"",""XL""]","[""Magenta""]",1
women-denim-jacket,Everyday Denim Jacket,women,A blue denim jacket with chest pockets and a button front. A versatile finishing layer for casual outfits.,273500,/assets/images/women2.webp,Model wearing a blue denim jacket over a white graphic T-shirt,"[""XS"",""S"",""M"",""L""]","[""Blue""]",0
women-floral-dress,Floral Midi Dress,women,A colorful floral midi dress with a flowing skirt and three-quarter sleeves. An expressive everyday statement.,159900,/assets/images/women1.jpg,Model wearing a bright pink and orange floral midi dress,"[""S"",""M"",""L"",""XL""]","[""Pink floral""]",1
women-floral-kimono,Floral Fringe Kimono,women,A light-colored open layer with a floral print and fringed hem. Adds pattern and movement to a simple outfit.,119900,/assets/images/explore9.webp,Model wearing a pale floral kimono with a fringed hem,"[""S"",""M"",""L""]","[""Cream floral""]",0
women-skinny-jeans,Blue Skinny Jeans,women,A close-fitting pair of blue jeans with a clean everyday finish. Pair with an oversized shirt or your favorite tee.,189900,/assets/images/women3.webp,Seated model wearing fitted blue jeans and pink sandals,"[""26"",""28"",""30"",""32""]","[""Blue""]",0
