id,name,category,description,price_inr,image,alt,sizes,colors,featured,source_page,source_name,curation_notes
women-floral-kimono,Floral Fringe Kimono,Women's Clothing,A light-colored open layer with a floral print and fringed hem. Adds pattern and movement to a simple outfit.,1199.00,/assets/images/explore9.webp,Model wearing a pale floral kimono with a fringed hem,S|M|L,Cream floral,0,Explore.html,Fringed Kimono Look,Existing editorial photo curated as a product; illustrative demo price and sizes
kids-cartoon-tee,Blue Character Tee,Kids Wear,A cheerful blue short-sleeve tee with a colorful cartoon graphic on the front.,274,/assets/images/imgkids3.webp,Blue short-sleeve children's T-shirt with a Mickey Mouse graphic,4-5Y|6-7Y|8-9Y,Blue,1,kids.html,Cartoon Print T-Shirt,Accurate image description and original price; demo age sizes standardized
kids-baby-set,Pink Baby Outfit,kids,A pale pink long-sleeve baby outfit with a small character illustration. A coordinated look for little ones.,1199,/assets/images/imgkids2.jpg,Baby wearing a pale pink long-sleeve outfit,0-6M|6-12M|12-24M,Pink,0,kids.html,Cotton Baby Romper,Photo does not establish fabric or a one-piece romper; claims removed; price retained
kids-denim-jacket,Kids Dark Denim Jacket,children,A dark blue button-front jacket with chest pockets. A playful finishing layer for a casual outfit.,"₹1,299",/assets/images/imgkids4.webp,Child wearing a dark blue denim jacket over a black top,4-5Y|6-7Y|8-9Y,Navy,0,kids.html,Denim Jacket,Original price retained; sizes standardized for demo
kids-party-dress,Pink Party Dress,kids,A full-skirt pink party dress with floral decoration and a ribbon-style waist detail.,899.00,/assets/images/imgkids5.webp,Child wearing a full-skirt pink party dress with floral decoration,4-5Y|6-7Y|8-9Y,Pink,1,kids.html,Floral Party Dress,Original price retained; visible color and details described
kids-striped-set,Sage Striped Co-ord,Kids Wear,A matching sage-striped top and trouser set with ruffled straps and an easy summer silhouette.,799.00,/assets/images/imgkids1.webp,Sage green striped children's crop top and matching trousers laid flat,4-5Y|6-7Y|8-9Y,Sage,0,Explore.html,Kids Wear,Category thumbnail curated as a product; illustrative demo price and sizes
acc-graffiti-cap,Graffiti Print Cap,Accessory,A curved-brim cap covered in bright graffiti-style artwork. A bold accent for everyday outfits.,299,/assets/images/imgaccscap.jpg,Multicolor graffiti-print baseball cap,One size,Multicolor,0,accessories.html,Colorful Baseball Cap,Original price retained; unsupported stock and size claims removed
acc-floral-handbag,Embroidered Floral Handbag,accessories,A structured green occasion bag with a floral design and a round gold-tone handle.,699.00,/assets/images/imgaccs2.webp,Green floral handbag with a rounded gold-tone handle,,Green,1,accessories.html,Handbags & Clutches,Incorrect baby socks alt text replaced; original price retained
acc-peacock-earrings,Blue Peacock Earrings,accessories,A pair of statement peacock-shaped drop earrings with blue stones and gold-tone detailing.,419,/assets/images/imgaccs3.webp,Pair of gold-tone peacock earrings with blue teardrop stones,,Blue and gold,0,accessories.html,Earrings,Incorrect backpack alt text replaced; material purity not claimed; original price retained
acc-silver-necklace,Silver-Tone Leaf Necklace,accessories,A decorative silver-tone necklace with clustered leaf-shaped details. An accent for occasion outfits.,649.00,/assets/images/explore8.webp,Silver-tone necklace with clustered leaf-shaped details,,Silver tone,0,Explore.html,Layered Accessories,Existing jewelry photo curated as a product; illustrative demo price; no precious-metal claim
foot-colorblock-sneakers,Colorblock Everyday Sneakers,Footwear,Retro-inspired low-top sneakers in orange and green with a contrasting chunky sole.,"₹1,058",/assets/images/footwear2.webp,Pair of orange green and cream low-top sneakers,UK 6|UK 7|UK 8|UK 9|UK 10|UK 11,Orange and green,1,footwear.html,Running Shoes For Men,No performance running claim from a photograph; original price retained
foot-high-top-sneakers,Black & White High-Tops,Shoes,A pair of lace-up high-top sneakers with contrasting black and white panels.,699,/assets/images/footwear3.webp,Pair of black and white high-top sneakers with white laces,UK 6|UK 7|UK 8|UK 9|UK 10,Black and white,0,footwear.html,Outdoor Casual Boot,Photograph shows high-top sneakers instead of boots; original price retained
foot-formal-shoes,Brown Formal Lace-Ups,footwear,Polished-looking brown lace-up shoes with panel detailing. A classic complement to tailored outfits.,1699,/assets/images/footwear4.webp,Pair of brown formal lace-up shoes displayed on blue blocks,UK 6|UK 7|UK 8|UK 9|UK 10,Brown,0,footwear.html,Paragon Men's Tan Formal Shoes,Brand and leather claims not independently verified; original price retained
foot-embellished-heels,Embellished Occasion Heels,footwear,Strappy occasion sandals with decorative sparkling details and a slender heel.,549.00,/assets/images/imgaccs4.jpg,Model wearing embellished strappy high-heel sandals,UK 5|UK 6|UK 7|UK 8,Champagne,0,accessories.html and footwear.html,Footwear,Duplicate card merged into one footwear product; incorrect hair accessories alt replaced; price retained
foot-grey-sneakers,Grey Panel Sneakers,Footwear,A pair of grey low-top sneakers with layered panels and a contrasting white sole.,1399.00,/assets/images/footwear1.webp,Pair of grey and black low-top sneakers with white soles,UK 6|UK 7|UK 8|UK 9|UK 10,Grey,0,Original image collection,footwear1.webp,Existing unused shoe photo curated as a product; illustrative demo price and sizes
